,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2011-01-14,0,0,0,0,0,0,0,0.0,0.20191181419225934,0.40971730225164293,0.22149351263376882,0.36241283309781314,0.5196183156190773,0.719708071651632,0.7801582936603713,0.7762766221204336,0.6707027705127718,0.6160100972172142
2011-01-15,0,0,0,0,0,0,0,0.0,0.02873275346872497,0.38179682567992873,0.21979999017687282,0.31304478264694374,0.4263351436785219,0.5598734492892854,0.6322254954965032,0.698085480546,0.5064661485377805,0.5599167301696953
2011-01-16,0,0,0,0,0,0,0,0.0,0.15016849712264443,0.4296971784413833,0.2872680871629779,0.36593029716098335,0.4884978104563648,0.6586379791673707,0.7270055801413509,0.7479476856002603,0.602831750594384,0.5664480455138896
2011-01-17,0,0,0,0,0,0,0,0.0,0.0031509862116715177,0.3910559606761381,0.2549919309087001,0.31322460163167726,0.4601536821491861,0.6322920939674196,0.683287784358494,0.6988819912814822,0.6633704597463594,0.7404437617006389
2011-01-18,0,0,0,0,0,0,0,0.0,0.1429540487752985,0.4426752761540693,0.22938587844082442,0.3639195628299518,0.49326078498363346,0.6703936427761688,0.7323437273682838,0.726012611363654,0.5924457630627593,0.4648786476190666
2011-01-19,0,0,0,0,0,0,0,0.0,0.12950668341822527,0.2465544800136172,0.1889730428401013,0.31538051002047046,0.4664830127630925,0.6548490434252209,0.6985546143740632,0.6868173877582153,0.597912284498314,0.6243127897012859
2011-01-20,0,0,0,0,0,0,0,0.0,0.1320896688452121,0.4420317058852541,0.20198780870849853,0.32659254405215027,0.45751225941867113,0.6503738787817341,0.7191225065563952,0.6949302315987436,0.5548986653076451,0.6782803796468576
2011-01-21,0,0,0,0,0,0,0,0.0,0.20295065635464346,0.3389737619079317,0.22248132413577096,0.3407865540887023,0.48356004113191015,0.6887955435386747,0.7551072624004996,0.7354702799678571,0.5986429821755306,0.565663692146413
2011-01-22,0,0,0,0,0,0,0,0.0,0.08558739005728587,0.3718671341823664,0.22665754437921926,0.30624340806842704,0.44330266470807583,0.6216817978197859,0.6830907699695966,0.7114820637078617,0.6116771839432276,0.6991428775478113
2011-01-23,0,0,0,0,0,0,0,0.0,0.1716436505867555,0.3597621024630587,0.19586169626989808,0.3373787766950896,0.4626541957792692,0.6845638007464002,0.7680766169124168,0.7609873194569549,0.718074593869985,0.5931138217721409
2011-01-24,0,0,0,0,0,0,0,0.0,0.005249461835024684,0.341236920005471,0.17343238052182078,0.2626543790125469,0.3866496787958204,0.5256279293936597,0.553197077421173,0.6215323016650451,0.6553814731852474,0.9414326983030458
