date,0,1,2,3,4,5,6,7,8,9,10,11,12
2022-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-25,0.0,12.625450072081193,11.943649460287654,12.952691794203494,9.645079256674904,15.461609775246437,5.080898394649975,4.44586938941801,3.6415569270719095,6.975932937987307,6.905601616416658,8.223116455791153,7.20787239074707
2022-04-26,34.380523681640625,22.785532536713976,23.958339335871674,26.05599574616161,25.243426310370292,24.672346060823443,25.209662183996745,25.56126869530291,24.610900761641403,24.482276571557875,25.645088647093097,26.627506113498015,25.703338623046875
2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01343817583152226,0.0,0.0
2022-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,6.855878829956054,8.275052417879522,8.531180669279658,8.852735877417906,8.849114883696526,9.018659531052243,8.462344323772273,8.50988885599214,8.218368514717897,8.660619652863089,8.740503380695978,9.885098484074959,9.751359939575195
2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,1.7139697074890134,2.014962293531584,1.947041785015779,1.9754784655647153,1.9059021801061895,2.009060168628223,2.391051313648485,2.3276999101445486,2.455539582813698,2.607601273567118,2.7988929509052203,2.4712746210187397,2.437839984893799
2022-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-19,2.173392653465271,2.3385004193886467,2.2984365470269146,2.4313808660537672,2.4650203026231177,2.4583380529957437,2.6588289920597856,2.6762727641978783,2.6029834908852756,2.766734845249365,2.920418712709631,3.119392724794763,2.85789155960083
2022-05-20,4.346785306930542,4.6770008387772934,4.596873094053829,4.621421356932423,4.690408104858846,4.648179967217925,5.099202700837017,4.998099500665794,5.100656041536606,5.53346969049873,5.840837425419262,5.754773202343522,5.71578311920166
2022-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-22,3.025039434432983,3.1265171507130503,3.0372669498125715,3.04481546337993,3.3427424326124506,3.0752585219251136,3.8961066840446152,3.9376623054613935,4.102680776170087,4.09136963947445,4.430583204187098,4.66465244114956,4.822951316833496
2022-05-23,9.049739122390747,12.231271049250731,11.62950311455072,11.741528568938136,11.30552087032603,11.984409439043485,11.299184190410458,11.504546366027887,11.28720087508485,12.033031776441751,12.445385826485499,13.043523565631046,12.86120319366455
2022-05-24,2.2814693450927734,1.725621951662976,2.083912037166894,2.3056412200196483,3.24325352270118,2.2908181757356907,4.060902162773968,3.8482536504397524,3.9758043630209885,4.120226086031461,4.1826627027420775,3.5678441435377177,3.2153007984161377
2022-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-27,4.391943573951721,4.583704129509305,4.605070934576146,4.591748821087919,4.801532005321229,4.58372262125902,5.271263990010299,5.215021592942445,5.2525543311010185,5.481468554929639,5.535478678487596,5.719854060734543,5.608220100402832
2022-05-28,2.1959717869758606,2.532772276712501,3.1607035375108903,3.514127012258901,4.229514285027544,3.4589152408505757,5.124486376488044,4.976873349096325,5.259159908390403,5.5793422536647075,6.20274816382499,6.262901439845005,5.608220100402832
2022-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
