,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2018-02-26,3.21537144065687e-06,3.21537144065687e-06,3.21537144065687e-06,3.5176441607231e-06,3.73259365054797e-06,4.27225917213858e-06,5.65451612951453e-06,8.31385618632103e-06,9.59287132868525e-06,1.02407389858574e-05,9.0403713805574e-06,7.79189582093188e-06,6.19798020508865e-06,6.2553714846203e-06,6.16537152353658e-06,6.16537152353658e-06,6.16537152353658e-06,6.16537152353658e-06,6.16537152353658e-06
2018-02-27,2.82299518938878e-06,2.82299518938878e-06,2.82299518938878e-06,3.09344973550083e-06,3.28577296829163e-06,3.76253600959398e-06,4.96608731014256e-06,7.31238915863803e-06,8.39649523095787e-06,8.91233347367822e-06,7.83004650716776e-06,6.69037326015204e-06,5.20451693307384e-06,5.30399519439229e-06,5.14799519368836e-06,5.14799519368836e-06,5.14799519368836e-06,5.14799519368836e-06,5.14799519368836e-06
2018-02-28,2.74453601845082e-06,2.74453601845082e-06,2.74453601845082e-06,2.98089964792777e-06,3.14898045111139e-06,3.59249517589926e-06,4.79058858062297e-06,6.98696011922494e-06,8.05053584223003e-06,8.54747700631281e-06,7.35222819218488e-06,6.07868228630619e-06,4.38584037744443e-06,4.54653601504873e-06,4.29453603789654e-06,4.29453603789654e-06,4.29453603789654e-06,4.29453603789654e-06,4.29453603789654e-06
2018-03-01,2.86976248303761e-06,2.86976248303761e-06,2.86976248303761e-06,3.06180793657235e-06,3.19837359241928e-06,3.64323186895476e-06,5.07699932792164e-06,7.32052006189344e-06,8.90076249362437e-06,1.0001380148401e-05,8.91623685705375e-06,7.89323810566392e-06,6.81976249582584e-06,6.51176249181873e-06,6.9947624981026e-06,6.9947624981026e-06,6.9947624981026e-06,6.9947624981026e-06,6.9947624981026e-06
2018-03-02,2.88405027082383e-06,2.88405027082383e-06,2.88405027082383e-06,3.09086845328256e-06,3.23793916080876e-06,3.69986660483538e-06,5.15049767820621e-06,7.47344428328215e-06,8.99205036423822e-06,9.97632977846575e-06,8.75840928020562e-06,7.55874535827204e-06,6.174811003401e-06,6.00455015797863e-06,6.27155012011826e-06,6.27155012011826e-06,6.27155012011826e-06,6.27155012011826e-06,6.27155012011826e-06
2018-03-03,2.73660568272938e-06,2.73660568272938e-06,2.73660568272938e-06,2.96842386975966e-06,3.13327235831452e-06,3.70063630989697e-06,5.59680307192427e-06,8.46993906476114e-06,1.04261057491151e-05,1.16766792996228e-05,9.92634938888875e-06,8.16861803189206e-06,6.06269285790864e-06,5.93260587434585e-06,6.13660591675114e-06,6.13660591675114e-06,6.13660591675114e-06,6.13660591675114e-06,6.13660591675114e-06
2018-03-04,2.71832741258193e-06,2.71832741258193e-06,2.71832741258193e-06,2.95014559379111e-06,3.11499407820653e-06,3.64205190239266e-06,5.31865636886035e-06,7.97287288232537e-06,9.71282742785462e-06,1.08282538904008e-05,9.37217354348764e-06,7.92533954839288e-06,6.22702294802387e-06,6.06632731429357e-06,6.31832728537063e-06,6.31832728537063e-06,6.31832728537063e-06,6.31832728537063e-06,6.31832728537063e-06
2018-03-05,2.83356569763527e-06,2.83356569763527e-06,2.83356569763527e-06,3.0540202446164e-06,3.21078792246965e-06,3.71443304645744e-06,5.32205252978812e-06,7.85932325810947e-06,9.47106566769662e-06,1.04519480082597e-05,8.94254002850094e-06,7.40673641504525e-06,5.52106569884359e-06,5.47706570145579e-06,5.54606569735938e-06,5.54606569735938e-06,5.54606569735938e-06,5.54606569735938e-06,5.54606569735938e-06
2018-03-06,2.80576684374978e-06,2.80576684374978e-06,2.80576684374978e-06,3.02053957587392e-06,3.17326685205109e-06,3.65423624486414e-06,5.1676089649271e-06,7.58682748883385e-06,9.05676688489621e-06,9.90392864937374e-06,8.41185663707059e-06,6.86857178162474e-06,4.91717996198776e-06,4.95926691492343e-06,4.89326692054704e-06,4.89326692054704e-06,4.89326692054704e-06,4.89326692054704e-06,4.89326692054704e-06
2018-03-07,2.32683508083475e-06,2.32683508083475e-06,2.32683508083475e-06,2.49274416447792e-06,2.61072395729083e-06,2.9995391374525e-06,4.26269028787706e-06,6.22531981139902e-06,7.45933494458839e-06,8.18087906421826e-06,6.91337345387479e-06,5.60274967955578e-06,3.94640034261035e-06,3.98083510438241e-06,3.92683513705805e-06,3.92683513705805e-06,3.92683513705805e-06,3.92683513705805e-06,3.92683513705805e-06
2018-03-08,2.17250677048142e-06,2.17250677048142e-06,2.17250677048142e-06,2.33273403894462e-06,2.44667342985178e-06,2.91612919537002e-06,4.64783562424321e-06,7.05356719555076e-06,9.16100652283092e-06,1.08206682486129e-05,9.69846810755088e-06,8.747506659132e-06,8.00946329901232e-06,7.32650676827262e-06,8.39750678238715e-06,8.39750678238715e-06,8.39750678238715e-06,8.39750678238715e-06,8.39750678238715e-06
2018-03-09,2.30778277804378e-06,2.30778277804378e-06,2.30778277804378e-06,2.48619187169886e-06,2.61306056052025e-06,3.10166033586617e-06,4.84396699268036e-06,7.33732824565408e-06,9.52678278249408e-06,1.13011651237247e-05,1.03504109754582e-05,9.62028276740585e-06,9.25778275827289e-06,8.42178276664995e-06,9.73278275351319e-06,9.73278275351319e-06,9.73278275351319e-06,9.73278275351319e-06,9.73278275351319e-06
2018-03-10,2.08956924607762e-06,2.08956924607762e-06,2.08956924607762e-06,2.28616015629512e-06,2.42595813689424e-06,2.92783455830746e-06,4.64877979546395e-06,7.19790262416989e-06,9.32456931437287e-06,1.10156722764664e-05,1.00623257389032e-05,9.31213030090266e-06,8.88576498101286e-06,8.1090693170438e-06,9.32706933554073e-06,9.32706933554073e-06,9.32706933554073e-06,9.32706933554073e-06,9.32706933554073e-06
2018-03-11,2.34637677731797e-06,2.34637677731797e-06,2.34637677731797e-06,2.51569495400939e-06,2.63609899076774e-06,3.09892778032832e-06,4.74769252882461e-06,7.10925548499184e-06,9.01337667897906e-06,1.04283619650236e-05,9.20887668880546e-06,8.09576695165053e-06,7.01648542830121e-06,6.54587673068363e-06,7.28387673376574e-06,7.28387673376574e-06,7.28387673376574e-06,7.28387673376574e-06,7.28387673376574e-06
2018-03-12,2.28660260326308e-06,2.28660260326308e-06,2.28660260326308e-06,2.44796623117726e-06,2.56271369991623e-06,2.98966379699782e-06,4.48397094832131e-06,6.65781456756237e-06,8.31460242324056e-06,9.48660243118963e-06,8.27057686919739e-06,7.11160260280508e-06,5.86486361342509e-06,5.56260270471398e-06,6.03660276610185e-06,6.03660276610185e-06,6.03660276610185e-06,6.03660276610185e-06,6.03660276610185e-06
