date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2014-09-12,1.19203731401285E-05,1.19203731401285E-05,1.19203731401285E-05,1.17056004264139E-05,1.15528731633279E-05,1.12948629760824E-05,1.09960310967538E-05,9.78779752369371E-06,9.70237331216595E-06,9.89941745471408E-06,1.01245400286915E-05,1.04240319324398E-05,1.09502647607229E-05,1.07168734283647E-05,1.10828734722901E-05,1.10828734722901E-05,1.10828734722901E-05,1.10828734722901E-05,1.10828734722901E-05
2014-09-13,1.03798483550577E-05,1.03798483550577E-05,1.03798483550577E-05,9.83780290846942E-06,9.45234836867333E-06,8.80153205004167E-06,8.04925627333708E-06,5.00181811131718E-06,4.43734840517962E-06,4.38389250456694E-06,4.27824582003812E-06,4.14570203573318E-06,3.92658748984131E-06,4.00884837334914E-06,3.87984835148458E-06,3.87984835148458E-06,3.87984835148458E-06,3.87984835148458E-06,3.87984835148458E-06
2014-09-14,1.61083151510866E-05,1.61083151510866E-05,1.61083151510866E-05,1.51128606151173E-05,1.44049818339835E-05,1.32629070113379E-05,1.21708151654209E-05,6.86286065101232E-06,6.36631518725117E-06,6.84765341430814E-06,6.75382803689618E-06,6.74459574550299E-06,6.92733705496382E-06,6.63081530570764E-06,7.09581532158665E-06,7.09581532158665E-06,7.09581532158665E-06,7.09581532158665E-06,7.09581532158665E-06
2014-09-15,1.846744655154E-05,1.846744655154E-05,1.846744655154E-05,1.76163101985467E-05,1.70110576808627E-05,1.59927016865975E-05,1.48309334524711E-05,1.00651739539356E-05,9.66394670022908E-06,1.03251672916941E-05,1.10248184800008E-05,1.1965617396405E-05,1.36359248964732E-05,1.28764466411369E-05,1.40674466324597E-05,1.40674466324597E-05,1.40674466324597E-05,1.40674466324597E-05,1.40674466324597E-05
2014-09-16,1.38155676836504E-05,1.38155676836504E-05,1.38155676836504E-05,1.31644313428451E-05,1.27014010560502E-05,1.19347004021901E-05,1.11132651437853E-05,7.53450729222771E-06,7.33306790920096E-06,7.94203848453843E-06,8.46204225268821E-06,9.18538496125898E-06,1.05106765701017E-05,9.86406788456407E-06,1.08780678687026E-05,1.08780678687026E-05,1.08780678687026E-05,1.08780678687026E-05,1.08780678687026E-05
2014-09-17,1.20121900550885E-05,1.20121900550885E-05,1.20121900550885E-05,1.15485536976611E-05,1.12188567323794E-05,1.07014757849077E-05,1.02720584864245E-05,7.87885675311951E-06,7.83119009888367E-06,8.27027835712796E-06,8.32244658943146E-06,8.47255610352964E-06,8.87523384273259E-06,8.54619032406134E-06,9.06219038743217E-06,9.06219038743217E-06,9.06219038743217E-06,9.06219038743217E-06,9.06219038743217E-06
2014-09-18,1.38221744521161E-05,1.38221744521161E-05,1.38221744521161E-05,1.36119471792736E-05,1.34624522296968E-05,1.32252356774695E-05,1.30162534067198E-05,1.19168714349132E-05,1.16931744729243E-05,1.15876156556008E-05,1.12705719089239E-05,1.08840647111778E-05,1.02656527221175E-05,1.04741744595049E-05,1.01471744622383E-05,1.01471744622383E-05,1.01471744622383E-05,1.01471744622383E-05,1.01471744622383E-05
2014-09-19,1.07661012549443E-05,1.07661012549443E-05,1.07661012549443E-05,1.08751921355964E-05,1.09527678729491E-05,1.10706930088495E-05,1.11509695535785E-05,1.16933736997928E-05,1.15211009417493E-05,1.11484538784153E-05,1.08519983657702E-05,1.04343936033974E-05,9.6606661220254E-06,1.00471009109171E-05,9.4411009010642E-06,9.4411009010642E-06,9.4411009010642E-06,9.4411009010642E-06,9.4411009010642E-06
2014-09-20,1.40394088248286E-05,1.40394088248286E-05,1.40394088248286E-05,1.393259062416E-05,1.38566310147957E-05,1.36187455093094E-05,1.28732903528684E-05,1.16772874812134E-05,1.07679087149393E-05,1.00592616953551E-05,1.04368446447285E-05,1.07259941132714E-05,1.0867126154926E-05,1.12019087391246E-05,1.06769087775405E-05,1.06769087775405E-05,1.06769087775405E-05,1.06769087775405E-05,1.06769087775405E-05
2014-09-21,1.33518176994585E-05,1.33518176994585E-05,1.33518176994585E-05,1.36790904228044E-05,1.39118176927392E-05,1.41717156525264E-05,1.39011598221267E-05,1.50184843903389E-05,1.41848177584336E-05,1.30459354391795E-05,1.31992536697185E-05,1.31420616588026E-05,1.25920351377233E-05,1.33228177313072E-05,1.21768177550052E-05,1.21768177550052E-05,1.21768177550052E-05,1.21768177550052E-05,1.21768177550052E-05
2014-09-22,1.37803503363898E-05,1.37803503363898E-05,1.37803503363898E-05,1.36723957757051E-05,1.3595628088107E-05,1.3329584988675E-05,1.24366002886654E-05,1.10886835513342E-05,9.59985021616205E-06,8.11748257564967E-06,7.85887583921189E-06,7.25717943960174E-06,5.75643709049592E-06,6.90235013982132E-06,5.10535013065194E-06,5.10535013065194E-06,5.10535013065194E-06,5.10535013065194E-06,5.10535013065194E-06
2014-09-23,1.80139595045148E-05,1.80139595045148E-05,1.80139595045148E-05,1.8145777692718E-05,1.82395150709959E-05,1.81996738126643E-05,1.73034332409584E-05,1.69685050680659E-05,1.49449596499451E-05,1.25657979131672E-05,1.19363955660217E-05,1.07240206392368E-05,7.94819879808103E-06,9.87845965207512E-06,6.85145967649348E-06,6.85145967649348E-06,6.85145967649348E-06,6.85145967649348E-06,6.85145967649348E-06
2014-09-24,1.80951392962925E-05,1.80951392962925E-05,1.80951392962925E-05,1.75678665828824E-05,1.71929170977907E-05,1.65357005595288E-05,1.56724419770414E-05,1.25769575964279E-05,1.17376394009039E-05,1.13517570132814E-05,1.11175752409339E-05,1.07689197980369E-05,1.00924218552538E-05,1.04616392804546E-05,9.88263922729882E-06,9.88263922729882E-06,9.88263922729882E-06,9.88263922729882E-06,9.88263922729882E-06
2014-09-25,2.14284229400619E-05,2.14284229400619E-05,2.14284229400619E-05,2.06920593353033E-05,2.01684229941416E-05,1.92200046694848E-05,1.78478310012685E-05,1.33587263402829E-05,1.18619233517414E-05,1.09677615799452E-05,1.05566284126359E-05,9.90006955513843E-06,8.55777093154648E-06,9.3574231360094E-06,8.10342308810164E-06,8.10342308810164E-06,8.10342308810164E-06,8.10342308810164E-06,8.10342308810164E-06
2014-09-26,2.9688791926219E-05,2.9688791926219E-05,2.9688791926219E-05,2.85501555817353E-05,2.7740458625658E-05,2.62704246322472E-05,2.4129581464191E-05,1.71690951132729E-05,1.49767920975608E-05,1.38042332817481E-05,1.34637921479725E-05,1.28314751255179E-05,1.14116183642871E-05,1.23757922537915E-05,1.08637922907051E-05,1.08637922907051E-05,1.08637922907051E-05,1.08637922907051E-05,1.08637922907051E-05
