,0,1,2,3,4,5,6,7,8,9,10,11,12
2021-04-15,0,0,0,0,0,0,0,0.2184,0.21605065591535746,0.15886186141834094,0.00844140038863696,0.030832830374466703,0.13412084452514048
2021-04-16,0,0,0,0,0,0,0,0.2184,0.21605065591535746,0.17350424127812733,0.026324415554435286,0.06897724375254004,0.13693749857704496
2021-04-17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.02201540154565158,0.02721843227288108,0.1098340629262081
2021-04-18,0,0,0,0,0,0,0,0.13369999999999999,0.12721017966701018,0.011905415962205321,0.05381559722458835,0.11381127473042395,0.2955681466585888
2021-04-19,0,0,0,0,0,0,0,0.13369999999999999,0.12721017966701018,0.0004006932457118055,0.0005356624895856416,0.05770343591022306,0.20604762505695098
2021-04-20,0,0,0,0,0,0,0,0.13369999999999999,0.13546200806348188,0.14552880799666237,0.012502246433915546,0.056039538438969444,0.18113444052372293
2021-04-21,0,0,0,0,0,0,0,0.41200000000000003,0.41258733602116066,0.4215806019803901,0.35077271929234893,0.32193347540017303,0.24016336710566216
2021-04-22,0,0,0,0,0,0,0,0.41200000000000003,0.41258733602116066,0.4215806019803901,0.43551802374578313,0.45143061899587594,0.5051564502777188
2021-04-23,0,0,0,0,0,0,0,0.3031,0.3177834005290159,0.6010383935040315,0.41507041037051795,0.42111708630743144,0.574335333646742
2021-04-24,0,0,0,0,0,0,0,0.2668,0.2726733602116064,0.4039130206182525,0.32851861547467537,0.3073021145260942,0.45278844658131767
2021-04-25,0,0,0,0,0,0,0,0.2668,0.2738480322539276,0.41200000000000003,0.2662434890247164,0.24832349831152517,0.38104885531631033
2021-04-26,0,0,0,0,0,0,0,0.0,0.019998548819684422,0.4209596616633836,0.27753413852321224,0.2160264619522464,0.373948472030097
2021-04-27,0,0,0,0,0,0,0,0.0,0.018823876777363153,0.39946044834131955,0.19936795004400468,0.19212304156778795,0.3115222605895648
2021-04-28,0,0,0,0,0,0,0,0.0,0.019998548819684422,0.39268461518299047,0.1400106171595913,0.18246119480285436,0.34799692752292466
2021-04-29,0,0,0,0,0,0,0,0.0,0.019998548819684422,0.40164427684637416,0.17599775178918683,0.1577540254898413,0.25070945092649843
2021-04-30,0,0,0,0,0,0,0,0.0,0.019998548819684422,0.40164427684637416,0.20078975723845702,0.16273717704316876,0.250579174235089
2021-05-01,0,0,0,0,0,0,0,0.0,0.019998548819684422,0.4209596616633836,0.14797070153238973,0.20414284803033556,0.34803414943475586
2021-05-02,0,0,0,0,0,0,0,0.0,0.019998548819684422,0.40164427684637416,0.17599775178918683,0.1556003127360202,0.25070945092649843
2021-05-03,0,0,0,0,0,0,0,0.0,0.019998548819684422,0.40164427684637416,0.2007835157817961,0.1644223015601662,0.250579174235089
2021-05-04,0,0,0,0,0,0,0,0.13369999999999999,0.14720872848669458,0.40164427684637416,0.08918237744185688,0.09131411305519208,0.2846899879494622
2021-05-05,0,0,0,0,0,0,0,0.13369999999999999,0.13263337537601197,0.1686570133067901,0.06671874825118919,0.09131411305519208,0.2846899879494622
2021-05-06,0,0,0,0,0,0,0,0.13369999999999999,0.1326873990851786,0.13059218119880187,0.11908261566186731,0.0978541017005081,0.2159812984263857
2021-05-07,0,0,0,0,0,0,0,0.0,0.00978077330615934,0.15866516182458182,0.1345930062998274,0.12274074566104713,0.15641009105686587
2021-05-08,0,0,0,0,0,0,0,0.2546999999999999,0.2523506559153575,0.20265071480322522,0.06500588828973887,0.05227330821848516,0.18363721043765144
2021-05-09,0,0,0,0,0,0,0,0.2546999999999999,0.2523506559153575,0.20265071480322522,0.06500588828973887,0.05227330821848516,0.18363721043765144
2021-05-10,0,0,0,0,0,0,0,0.2546999999999999,0.2523506559153575,0.20274157665242148,0.015235869155731968,0.07433239144070078,0.13613313632451665
2021-05-11,0,0,0,0,0,0,0,0.13369999999999999,0.1383779138302683,0.12881657191393853,0.05160284359806272,0.09181897976019349,0.15156210809590237
2021-05-12,0,0,0,0,0,0,0,0.2546999999999999,0.2523506559153575,0.18842334493215893,0.030385558120257606,0.07700843238278751,0.19704261639478138
2021-05-13,0,0,0,0,0,0,0,0.2546999999999999,0.2523506559153575,0.18833248308296266,0.02937942946799834,0.04761513186127637,0.21883811482198567
2021-05-14,0,0,0,0,0,0,0,0.2546999999999999,0.2523506559153575,0.20274157665242148,0.05798256308961202,0.09181897976019349,0.15156210809590237
2021-05-15,0,0,0,0,0,0,0,0.2546999999999999,0.2523506559153575,0.18842334493215893,0.034594892751510606,0.08622191555770371,0.18192568561766173
