date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2013-06-03,1.1963895758526633e-06,1.1583461025535173e-06,1.2473816530095358e-06,1.2920335292159795e-06,1.499430137038001e-06,1.557380970897281e-06,1.509815513813219e-06,1.6203733347689804e-06,1.7183062624148706e-06,1.8904952782703936e-06,1.9547229200140923e-06,2.0499312599249935e-06,2.1009350535916238e-06,2.0818062776613764e-06,2.1947229483269362e-06,1.996389559444367e-06,1.996389559444367e-06,
2013-06-04,1.5819686045581705e-06,1.5667512191580821e-06,1.609349574888736e-06,1.6293171082281894e-06,1.721833500313387e-06,1.7384341519272229e-06,1.7162278885736098e-06,1.7681475010637616e-06,1.8120519760452445e-06,1.8893873370122339e-06,1.9364558138843656e-06,2.0265519639665422e-06,2.088408022219805e-06,2.1064478009461913e-06,2.2186352939120485e-06,1.8819686249393897e-06,1.8819686249393897e-06,
2013-06-05,1.1049598767076674e-06,1.2381120537986312e-06,1.735118607163836e-06,1.8227629049528242e-06,2.493473380999373e-06,2.5954771141660546e-06,2.3617885779561274e-06,2.820711901947094e-06,3.119209868726418e-06,3.4486590611717856e-06,3.6755795334418833e-06,4.011001535131341e-06,4.351550774330265e-06,4.629959858319192e-06,5.338293193801746e-06,3.142459893634708e-06,3.142459893634708e-06,
2013-06-06,1.3793478214063626e-06,1.4440217354421523e-06,1.7093081393990083e-06,1.759082669820651e-06,2.1258005235468194e-06,2.1832271366375137e-06,2.057935789387091e-06,2.3058722154670674e-06,2.4703478268306436e-06,2.6662380786614313e-06,2.8017837336772407e-06,3.0724728357226877e-06,3.2759387421105352e-06,3.4059103249754292e-06,3.7643478226841626e-06,2.504347853649058e-06,2.504347853649058e-06,
2013-06-07,1.3628075659077865e-06,1.4160684354196276e-06,1.6620139207183517e-06,1.7112924217284458e-06,2.072267041147563e-06,2.1722903373188396e-06,2.054242761233231e-06,2.2853685578191066e-06,2.4579742500474567e-06,2.7083360317605487e-06,2.8331067163758084e-06,3.064057566663318e-06,3.2059893798316614e-06,3.2440575647996184e-06,3.5028075500894338e-06,2.7378075655448697e-06,2.7378075655448697e-06,
2013-06-08,3.7763931093337533e-06,3.913349632943686e-06,4.274210581263063e-06,4.319006759372625e-06,4.762035023402094e-06,4.8574275958283505e-06,4.690050516455825e-06,5.002815883495926e-06,5.198309782095124e-06,5.398649180974288e-06,5.503209312950407e-06,5.815976403530005e-06,5.961241558511023e-06,6.035247268757852e-06,6.18805976226137e-06,5.288893014210316e-06,5.288893014210316e-06,
2013-06-09,3.2602728960995364e-06,3.19940333449586e-06,3.0817014653743388e-06,3.074666829909688e-06,2.966353957848659e-06,2.9947556357028923e-06,3.046383991236303e-06,2.949703766542391e-06,2.9301062003028737e-06,3.032630584664804e-06,3.097452344554839e-06,3.1936061855586395e-06,3.246636482424525e-06,3.1686061736183966e-06,3.291939493887952e-06,3.2102728684257897e-06,3.2102728684257897e-06,
2013-06-10,3.2882097116271325e-06,3.2996227782155567e-06,3.2949557674751105e-06,3.2882097252189535e-06,3.2912502411129776e-06,3.3821752262301267e-06,3.382538413645277e-06,3.3681893742235997e-06,3.410876359536038e-06,3.600506435883914e-06,3.6972908818722817e-06,3.782584685770492e-06,3.850330890107089e-06,3.776230498075961e-06,3.98820964508199e-06,3.8507097084306e-06,3.8507097084306e-06,
2013-06-11,2.628587566277929e-06,2.681848482419137e-06,2.764103503035845e-06,2.7640042800798748e-06,2.854094347310327e-06,2.93591520171028e-06,2.8975690913313197e-06,2.9556201247533234e-06,3.0268376042386083e-06,3.197591679669076e-06,3.2979252245189528e-06,3.3915042846703143e-06,3.4899512455970614e-06,3.489525086441958e-06,3.7569209074680053e-06,3.316087665794498e-06,3.316087665794498e-06,
2013-06-12,3.5090994074948867e-06,4.42975157432596e-06,5.021599397721166e-06,4.769516066888302e-06,4.673626429334914e-06,4.967073531821793e-06,4.739191987521049e-06,4.908692891797181e-06,4.995682726729457e-06,5.084709139892521e-06,5.289654936352029e-06,5.633891067091668e-06,5.906826675675694e-06,6.028891072003736e-06,6.5674327203169005e-06,5.009099361075187e-06,5.009099361075187e-06,
2013-06-13,2.4772881346279974e-06,3.4968533736653864e-06,3.8860183279790285e-06,3.5265305872806687e-06,2.958200319369553e-06,3.174486432434985e-06,3.054140003747555e-06,2.9636702690226697e-06,2.8628714865893323e-06,2.7170239134627665e-06,2.8957710472549184e-06,3.1649964709501434e-06,3.46137905247381e-06,3.6330173243115382e-06,4.251454839021562e-06,2.4897881161223268e-06,2.4897881161223268e-06,
2013-06-14,1.987632067823597e-06,2.6495886064891314e-06,2.8154098760342744e-06,2.5558139125956143e-06,2.051483446656492e-06,2.2130631292584768e-06,2.1762894969015834e-06,2.024420713536024e-06,1.9056320961367374e-06,1.7686280232151891e-06,1.812204739156199e-06,1.9034654265670526e-06,1.9531624032463992e-06,1.9162779459162378e-06,2.0017987913512057e-06,1.8376320647384148e-06,1.8376320647384148e-06,
2013-06-15,3.949234702815829e-06,5.1057564359987975e-06,5.851417218951026e-06,5.535408919165478e-06,5.393491410124987e-06,5.6701398179615705e-06,5.38557724645201e-06,5.60472244326246e-06,5.685817961165186e-06,5.712039494349158e-06,6.021029486956964e-06,6.815276286194679e-06,7.336355834426783e-06,7.607567956628239e-06,8.377567956567115e-06,5.2242346058051226e-06,5.2242346058051226e-06,
2013-06-16,2.9799998766399938e-06,4.3305433532481175e-06,4.621468139097219e-06,4.07753776774916e-06,2.981520179147753e-06,3.347672327813441e-06,3.2944675014340486e-06,2.9327438226351276e-06,2.6795832621262505e-06,2.464451159913076e-06,2.581923018992273e-06,2.966041609062109e-06,3.07962115312063e-06,2.8836457717900297e-06,2.945833271184028e-06,2.7549999506715217e-06,2.7549999506715217e-06,
2013-06-17,5.309384196294786e-06,7.652862433731215e-06,8.659582587761908e-06,7.867149338203205e-06,6.741985569248634e-06,7.2348152475511e-06,6.904060136366015e-06,6.815481785326754e-06,6.597050900971625e-06,6.086111889941302e-06,6.230431261767743e-06,6.776050947247351e-06,7.064687321179157e-06,7.216155127072929e-06,7.5002176303703054e-06,5.6968842354621074e-06,5.6968842354621074e-06,
2013-06-18,4.46976738999183e-06,7.916506460688929e-06,9.38147365368472e-06,8.211244597371369e-06,6.50997005838936e-06,7.157913904209944e-06,6.681341434765385e-06,6.537653541293577e-06,6.1756840383046345e-06,5.290600733452756e-06,5.473613553231865e-06,6.150392405259349e-06,6.595146182333727e-06,6.955704870530616e-06,7.482267343010088e-06,4.469767442505379e-06,4.469767442505379e-06,
2013-06-19,5.237718511352796e-06,7.478479333307721e-06,7.972837508700667e-06,7.073892724971925e-06,5.2275833989998214e-06,5.662934040714652e-06,5.5741768549421726e-06,4.993714477290902e-06,4.4895518896008e-06,3.747474667001023e-06,3.7497912157075716e-06,3.811885236319294e-06,3.845673111782438e-06,3.7898019019285325e-06,3.811051886278468e-06,3.7502185605831073e-06,3.7502185605831073e-06,
2013-06-20,5.591520888970081e-06,7.630651302169218e-06,8.173266872945466e-06,7.383187510061886e-06,5.854527580440628e-06,6.253805292365483e-06,6.128094895192833e-06,5.698228121447439e-06,5.297187460267713e-06,4.666012652243805e-06,4.695260098504891e-06,4.794645776910282e-06,4.875611692277784e-06,4.887874958855083e-06,5.006520809865596e-06,4.57902076300698e-06,4.57902076300698e-06,
2013-06-21,5.290693323445339e-06,8.018410772306e-06,9.51549500029082e-06,8.69126157753579e-06,7.880220409602632e-06,8.343926163208122e-06,7.80492950376628e-06,8.051973885577308e-06,7.942110066334608e-06,7.2704698220602606e-06,7.44891989453151e-06,8.103610059240206e-06,8.593723687373838e-06,9.150589208260321e-06,9.769026696915262e-06,6.128193424492778e-06,6.128193424492778e-06,
2013-06-22,4.246508666483351e-06,4.680204308047193e-06,4.716746764256099e-06,4.524917768854879e-06,4.0184681708794685e-06,3.907715604342378e-06,3.92498092299181e-06,3.758094085884569e-06,3.5561753973034635e-06,3.148744507782677e-06,3.1730044622071464e-06,3.452758733798097e-06,3.6805996462594286e-06,3.941300416032689e-06,4.166508757622959e-06,2.446508716502649e-06,2.446508716502649e-06,
2013-06-23,3.5874967867499663e-06,3.956518574794828e-06,4.18174290237887e-06,4.077080191635797e-06,4.023307667399211e-06,4.156246863558701e-06,4.07025147963552e-06,4.124793611086623e-06,4.1464135311682545e-06,4.1553830291231385e-06,4.1739284743505875e-06,4.3354135401315235e-06,4.333330213526019e-06,4.260413556116578e-06,4.133330214043755e-06,4.2499968208042915e-06,4.2499968208042915e-06,
2013-06-24,3.3040716638232936e-06,3.646462953115118e-06,3.6832383048145105e-06,3.534185278350224e-06,3.2047473162298145e-06,3.3288561130977975e-06,3.3323123754238044e-06,3.200006590491428e-06,3.1265716272136746e-06,3.105596009422118e-06,3.132917770990916e-06,3.193446627669516e-06,3.18399587319287e-06,3.0660508013406287e-06,3.0390716276862406e-06,3.3290715997225107e-06,3.3290715997225107e-06,
2013-06-25,3.7952468872060052e-06,4.213725176010317e-06,4.722826278439181e-06,4.680663566423362e-06,5.058084706818864e-06,5.305376203686486e-06,5.082283932546072e-06,5.40947452130936e-06,5.633496876294627e-06,5.926954211419726e-06,6.076016129121463e-06,6.432121876261594e-06,6.56948928765084e-06,6.54628850268087e-06,6.715246838654803e-06,6.070246968192805e-06,6.070246968192805e-06,
2013-06-26,6.416212428694834e-06,6.868929755345631e-06,7.300736140296194e-06,7.219242654007385e-06,7.369928590028008e-06,7.40069512148368e-06,7.22396700419547e-06,7.461639200329909e-06,7.552712376649082e-06,7.540602642871567e-06,7.73362693302713e-06,8.345587375716927e-06,8.758257831137879e-06,9.073504045488864e-06,9.61371241324412e-06,6.878712416780175e-06,6.878712416780175e-06,
2013-06-27,5.2864313602185575e-06,5.727735712120509e-06,5.535637731341355e-06,5.271279870458753e-06,4.3823773540033724e-06,4.265741747358401e-06,4.394301764736812e-06,3.981146858725508e-06,3.636348084228303e-06,3.1221021423017806e-06,3.0866450850610645e-06,3.2097647550521915e-06,3.32241627728794e-06,3.4515356111726922e-06,3.5080981120927394e-06,2.6364313736593203e-06,2.6364313736593203e-06,
2013-06-28,8.53574682935232e-07,1.0628137975689294e-06,1.2944476665017605e-06,1.2664534409192596e-06,1.3947908625015209e-06,1.4333160275900301e-06,1.335403358753233e-06,1.4782697670520722e-06,1.5419913100937304e-06,1.5501193687277569e-06,1.6036814914654174e-06,1.7983663110676672e-06,1.91228675981072e-06,2.0139912931445756e-06,2.1369079586719403e-06,1.3410746824149555e-06,1.3410746824149555e-06,
2013-06-29,6.818081798698472e-06,7.2631905198258675e-06,7.343081832014752e-06,7.158990913373614e-06,6.7172372143756984e-06,6.6372628627056895e-06,6.633475344229743e-06,6.5057850728964045e-06,6.338665156005637e-06,5.998671269177384e-06,6.052269877615012e-06,6.44016517129901e-06,6.694975772261663e-06,6.925894315427487e-06,7.149748485820358e-06,5.3430818853783535e-06,5.3430818853783535e-06,
2013-06-30,4.6925962351451744e-06,5.149117972582372e-06,5.538627964629847e-06,5.442596214909376e-06,5.507967822762564e-06,5.494966921221774e-06,5.340281422899156e-06,5.533043375941254e-06,5.568262893819546e-06,5.419832045491858e-06,5.5266774781924906e-06,6.0269712406431825e-06,6.340702282417706e-06,6.64363784808053e-06,6.9550961975177e-06,4.705096392498831e-06,4.705096392498831e-06,
2013-07-01,2.801885560899109e-06,2.8513420784856773e-06,3.4102188922129842e-06,3.555673440253261e-06,4.421480154670477e-06,4.491109661283074e-06,4.22237163422979e-06,4.788979024890892e-06,5.129635514601698e-06,5.4283082169891536e-06,5.579129023187766e-06,6.04459378299449e-06,6.296961212069447e-06,6.511260492965873e-06,6.7985521218894e-06,5.064385333319876e-06,5.064385333319876e-06,
2013-07-02,5.751759913685817e-06,6.05230339562359e-06,6.499775801404356e-06,6.494184172418883e-06,6.854462650224832e-06,6.871156514534578e-06,6.6761812535847545e-06,7.004910373070332e-06,7.186759977305669e-06,7.37554048487734e-06,7.724516406162397e-06,8.737384948383683e-06,9.392290235413467e-06,9.77259325810979e-06,1.066425993580348e-05,6.589260044265188e-06,6.589260044265188e-06,
2013-07-03,9.352100704740351e-06,9.801013816650825e-06,9.38682302712276e-06,9.051911388524232e-06,7.838418320260066e-06,7.889600764503666e-06,8.121082235277052e-06,7.461247095257018e-06,7.064517413962376e-06,6.7999665800743056e-06,6.854771667125843e-06,7.124184062412553e-06,7.2013431582631994e-06,6.971371577642789e-06,6.978767419241194e-06,7.0396007068040944e-06,7.0396007068040944e-06,
2013-07-04,4.511366007875495e-06,4.655931212359183e-06,4.724858064614113e-06,4.678032675682409e-06,4.65477819508228e-06,4.814167749563776e-06,4.786597503215051e-06,4.78291075029624e-06,4.831699373871364e-06,5.052829451539942e-06,5.152284836676757e-06,5.587407683963856e-06,5.639775107476564e-06,5.397824364668699e-06,5.257199371773898e-06,5.4238660140981665e-06,5.4238660140981665e-06,
2013-07-05,3.914418815753606e-06,3.982897073639003e-06,3.876323580765897e-06,3.812146094821769e-06,3.548540457080355e-06,3.526918834654777e-06,3.584094757441497e-06,3.4386058313369112e-06,3.3375021768714915e-06,3.227731853241921e-06,3.209076963834859e-06,3.274418854222934e-06,3.2685855207622203e-06,3.223273020343716e-06,3.124418842285574e-06,3.2144188395477613e-06,3.2144188395477613e-06,
