,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2000-04-02,5.58855986204304,7.57094824733695,5.93656232626803,5.33515343146446,5.7921270565251,5.20373059882048,5.36801075842803,4.0562952877418,4.00981902559186,3.6325229274532,3.81651670039103,3.54792242907406,4.65373373031616,3.42351865768433,3.42351865768433
2000-04-03,0.0,0.147480433525259,1.83314004905833,1.91628861444288,1.34429513233745,1.72206893943846,1.38862593046344,2.30239198314016,2.28443225824297,2.58806214094445,1.72245136068703,3.19271964705392,1.14117288589478,3.42351865768433,3.42351865768433
2000-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-13,20.1612370287786,25.269056675597,24.1238127373184,22.9294071639026,21.5803201107731,20.5818640931893,20.0972643038863,19.0136837961501,18.5878832782979,17.6167865292779,15.4770032575553,21.8419962893711,19.5320453643799,22.1018657684326,22.1018657684326
2000-04-14,15.120927904473,18.9517922964155,17.577347569905,16.4981045189746,15.3482985862126,14.6207926937376,13.7168082035363,11.6230156927029,10.4727663882738,8.83577776975779,7.80862115490904,10.9209981446856,9.76602268218994,11.0509328842163,11.0509328842163
2000-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-16,0.0,0.357510110606318,1.67190213640333,0.131794872956398,1.04907151181459,0.871671005558362,0.769761940290064,1.02590656241813,0.621518288956657,0.774979656573283,1.42247615809047,0.0,0.0,0.0,0.0
2000-04-17,0.0,0.0,0.279644276595673,0.0,0.969362341006006,1.24548667816106,1.20102499419931,1.06651493702395,1.22630796437995,0.796389587143797,0.81907942233776,0.0,0.0,0.0,0.0
2000-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,11.346893810835,13.9055690212526,12.8179495258887,12.2318256699462,12.1815652255675,11.7474688838584,11.4904954355495,10.0783835273506,9.68641485557424,8.03617743958191,8.44977045252778,9.04709333784125,8.95992279052734,9.05690002441406,9.05690002441406
2000-04-26,17.7813739151251,13.1000519983517,12.3416609274618,15.1907978207297,10.4900901127039,11.3072151135838,10.8158650081597,11.6865169767546,11.3644918124981,13.5343138686825,14.928789411088,9.39667124158881,9.32389481862386,9.40485858917236,9.40485858917236
2000-04-27,0.0,0.230034932833527,3.13585109102285,2.55604678901852,2.67011604128496,2.94221045660132,2.72421739483347,4.82056525438084,4.47526657617078,4.00269318874327,1.20591848370832,9.39667124158881,9.32389481862386,9.40485858917236,9.40485858917236
2000-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-30,0.0,0.0,0.02022477340498,0.241467403210806,0.446423533071373,0.440673415116082,0.581965519108478,0.401305318708101,0.344257608609491,0.069100601069284,0.176935876012655,0.0,0.0,0.0,0.0
2000-05-01,17.0066134030702,22.0791332292261,23.8984186130423,21.8824638709044,21.632336307414,21.6868685557563,21.3115036950386,21.3607719884512,19.4035864771719,17.7436535038081,18.6869831575592,17.5870361328125,19.8002726236979,17.3380470275879,17.3380470275879
2000-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-04,0.0,0.017108305147222,1.68086308912206,0.439417570065229,3.76114794268484,4.43363628427203,5.64811461440485,6.61161913190569,9.66856985730146,11.2591990528719,9.36456964077259,8.79351806640625,9.90013631184896,8.66902351379395,8.66902351379395
2000-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
