,CAUDAL (M3/SEG)MEDIA
2021-02-06,13.8
2021-02-07,13.3
2021-02-08,13.0
2021-02-09,12.7
2021-02-10,12.3
2021-02-11,12.2
2021-02-12,12.0
2021-02-13,11.7
2021-02-14,11.5
2021-02-15,11.2
2021-02-16,11.1
2021-02-17,10.9
2021-02-18,10.9
2021-02-19,10.7
2021-02-20,10.6
2021-02-21,10.4
2021-02-22,10.4
2021-02-23,10.2
2021-02-24,10.1
2021-02-25,10.1
2021-02-26,10.0
2021-02-27,9.96
2021-02-28,9.87
2021-03-01,9.81
2021-03-02,10.0
2021-03-03,9.9
2021-03-04,9.79
2021-03-05,9.7
2021-03-06,9.59
2021-03-07,9.52
2021-03-08,9.44
2021-03-09,9.31
2021-03-10,9.27
2021-03-11,9.22
2021-03-12,9.14
2021-03-13,9.05
2021-03-14,9.07
2021-03-15,9.05
2021-03-16,9.05
2021-03-17,9.05
2021-03-18,9.05
2021-03-19,9.05
2021-03-20,9.05
2021-03-21,8.89
2021-03-22,8.77
2021-03-23,8.6
2021-03-24,8.55
2021-03-25,8.53
2021-03-26,8.53
2021-03-27,8.53
2021-03-28,8.53
2021-03-29,8.45
2021-03-30,8.4
2021-03-31,8.19
2021-04-01,8.08
2021-04-02,8.005
2021-04-03,7.724
2021-04-04,7.63
2021-04-05,7.63
2021-04-06,7.63
2021-04-07,7.63
2021-04-08,7.63
2021-04-09,7.63
2021-04-10,7.63
2021-04-11,7.63
2021-04-12,7.63
2021-04-13,7.63
2021-04-14,7.63
2021-04-15,7.63
2021-04-16,7.592
2021-04-17,7.499
2021-04-18,7.292
2021-04-19,7.18
2021-04-20,7.18
2021-04-21,7.18
2021-04-22,7.18
2021-04-23,7.18
2021-04-24,7.255
2021-04-25,7.817
2021-04-26,7.48
2021-04-27,7.18
2021-04-28,7.18
2021-04-29,7.18
2021-04-30,7.18
2021-05-01,7.18
2021-05-02,7.16
2021-05-03,7.105
2021-05-04,6.899
2021-05-05,6.749
2021-05-06,6.749
2021-05-07,6.73
2021-05-08,6.73
2021-05-09,6.73
2021-05-10,7.011
2021-05-11,8.004
2021-05-12,7.989
2021-05-13,7.292
2021-05-14,7.161
2021-05-15,7.049
2021-05-16,6.749
2021-05-17,6.73
2021-05-18,6.73
2021-05-19,7.049
2021-05-20,7.142
2021-05-21,6.749
2021-05-22,7.656
2021-05-23,23.144
2021-05-24,23.135
2021-05-25,12.405
2021-05-26,9.983
2021-05-27,8.834
2021-05-28,8.23
2021-05-29,8.38
2021-05-30,8.136
2021-05-31,10.012
2021-06-01,10.822
2021-06-02,8.769
2021-06-03,8.305
2021-06-04,8.08
2021-06-05,7.667
2021-06-06,7.63
2021-06-07,7.611
2021-06-08,7.199
2021-06-09,7.18
2021-06-10,7.18
2021-06-11,7.18
2021-06-12,7.086
2021-06-13,6.842
2021-06-14,7.236
2021-06-15,7.349
2021-06-16,9.676
2021-06-17,8.105
2021-06-18,7.349
2021-06-19,7.236
2021-06-20,7.199
2021-06-21,7.18
2021-06-22,7.18
2021-06-23,7.105
2021-06-24,6.992
2021-06-25,7.161
2021-06-26,6.955
2021-06-27,7.067
2021-06-28,6.749
2021-06-29,6.749
2021-06-30,6.955
2021-07-01,6.861
2021-07-02,6.73
2021-07-03,6.73
2021-07-04,6.73
2021-07-05,6.73
2021-07-06,6.73
2021-07-07,6.73
2021-07-08,6.599
2021-07-09,6.73
2021-07-10,6.73
2021-07-11,6.749
2021-07-12,6.936
2021-07-13,6.917
2021-07-14,6.88
2021-07-15,6.786
2021-07-16,7.142
2021-07-17,7.236
2021-07-18,6.767
2021-07-19,6.73
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
