date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2019-04-07,8.48358378881642E-06,8.48358378881642E-06,7.01023386126565E-06,6.67593176373998E-06,7.04842185088256E-06,6.63401006651598E-06,6.19356154922415E-06,5.56731491348522E-06,5.70647320786195E-06,5.96670516710799E-06,3.39790942200767E-06,3.31583396295798E-06,9.80333373945541E-06,9.80333373945541E-06,9.80333373945541E-06
2019-04-08,7.65394530923336E-06,7.65394530923336E-06,6.30559529995445E-06,6.00270418660998E-06,6.40684486517784E-06,6.06716800631376E-06,5.7290999526162E-06,5.29988333406525E-06,5.49673439729234E-06,5.89380125976862E-06,3.51345010061722E-06,3.41769538980685E-06,9.46769532106373E-06,9.46769532106373E-06,9.46769532106373E-06
2019-04-09,5.40670900035512E-06,5.40670900035512E-06,4.70170901029121E-06,4.55322503763153E-06,5.02633805363529E-06,4.86541993596168E-06,4.64551828630653E-06,4.46638986935478E-06,4.72550377937703E-06,5.28923043897345E-06,3.20336937249574E-06,3.21020901417057E-06,8.64770909458912E-06,8.64770909458912E-06,8.64770909458912E-06
2019-04-10,6.24301557398344E-06,6.24301557398344E-06,5.09996562822401E-06,4.76761082543869E-06,4.99367178597637E-06,4.64598398862877E-06,4.32015908313308E-06,3.88414317001033E-06,4.01376023721554E-06,4.23027093288715E-06,2.40780329178411E-06,2.36676555642745E-06,7.09176556945579E-06,7.09176556945579E-06,7.09176556945579E-06
2019-04-11,6.71552321348482E-06,6.71552321348482E-06,5.54387325360786E-06,5.24588888930362E-06,5.51533334765246E-06,5.17966901031749E-06,4.83989264021136E-06,4.35360893359149E-06,4.48661931803406E-06,4.69821288120555E-06,2.53982983925657E-06,2.47827324351135E-06,7.90327315769446E-06,7.90327315769446E-06,7.90327315769446E-06
2019-04-12,5.8080466462096E-06,5.8080466462096E-06,4.85519666496259E-06,4.64742652932686E-06,4.97593006810962E-06,4.74707826430103E-06,4.52344008424079E-06,4.23962599484325E-06,4.42348268282994E-06,4.77428588109158E-06,2.71639091361708E-06,2.61379654120653E-06,7.66379666394812E-06,7.66379666394812E-06,7.66379666394812E-06
2019-04-13,3.74209325331165E-06,3.74209325331165E-06,3.21874326787963E-06,3.08083970526016E-06,3.44360425742384E-06,3.34768444827746E-06,3.25668603980455E-06,3.23403362122448E-06,3.48262273769359E-06,3.93561404186044E-06,2.1838998774089E-06,2.12234327534588E-06,6.3848432745317E-06,6.3848432745317E-06,6.3848432745317E-06
2019-04-14,4.12262951835274E-06,4.12262951835274E-06,3.40907951729896E-06,3.31493467490708E-06,3.64646455975336E-06,3.48122938840444E-06,3.29611405007513E-06,3.02270574569014E-06,3.1382164267582E-06,3.4675913248938E-06,1.94603991740381E-06,1.95287953186352E-06,5.84037951067984E-06,5.84037951067984E-06,5.84037951067984E-06
2019-04-15,6.11175989190471E-06,6.11175989190471E-06,4.90315990748513E-06,4.57543249793717E-06,4.77352527284847E-06,4.42794101583279E-06,4.11646176982873E-06,3.64366114255398E-06,3.76606078176952E-06,3.93182953356656E-06,2.10861838193961E-06,2.08125989153984E-06,6.76875966831858E-06,6.76875966831858E-06,6.76875966831858E-06
2019-04-16,5.9637753424191E-06,5.9637753424191E-06,4.84642537527691E-06,4.61622642969053E-06,4.88177755859775E-06,4.60261840181551E-06,4.33854339555828E-06,3.94164462298701E-06,4.07358201654731E-06,4.32605081843449E-06,2.38908192164444E-06,2.32752533513292E-06,7.16502537301267E-06,7.16502537301267E-06,7.16502537301267E-06
2019-04-17,6.03159051443924E-06,6.03159051443924E-06,4.8842905270341E-06,4.58963502221994E-06,4.80887209452205E-06,4.50565757301256E-06,4.23954761854063E-06,3.86863874998198E-06,4.01474371356677E-06,4.24471793666096E-06,2.39666603581131E-06,2.31459056898586E-06,6.9520907359788E-06,6.9520907359788E-06,6.9520907359788E-06
