,CAUDAL (M3/SEG)MEDIA
2021-05-05,8.857
2021-05-06,8.054
2021-05-07,7.072
2021-05-08,5.534
2021-05-09,6.102
2021-05-10,5.941
2021-05-11,5.755
2021-05-12,4.82
2021-05-13,5.31
2021-05-14,6.251
2021-05-15,5.137
2021-05-16,3.319
2021-05-17,4.374
2021-05-18,3.131
2021-05-19,5.192
2021-05-20,6.879
2021-05-21,4.299
2021-05-22,3.131
2021-05-23,3.131
2021-05-24,3.131
2021-05-25,3.131
2021-05-26,3.131
2021-05-27,3.131
2021-05-28,3.131
2021-05-29,3.131
2021-05-30,3.131
2021-05-31,5.085
2021-06-01,8.619
2021-06-02,16.972
2021-06-03,5.495
2021-06-04,3.091
2021-06-05,3.131
2021-06-06,3.131
2021-06-07,3.131
2021-06-08,3.131
2021-06-09,3.131
2021-06-10,3.131
2021-06-11,3.131
2021-06-12,3.131
2021-06-13,3.131
2021-06-14,3.131
2021-06-15,3.131
2021-06-16,3.131
2021-06-17,3.131
2021-06-18,3.131
2021-06-19,3.131
2021-06-20,3.131
2021-06-21,3.131
2021-06-22,3.131
2021-06-23,3.28
2021-06-24,3.131
2021-06-25,3.505
2021-06-26,3.131
2021-06-27,3.131
2021-06-28,3.131
2021-06-29,3.131
2021-06-30,3.131
2021-07-01,3.131
2021-07-02,3.131
2021-07-03,3.131
2021-07-04,3.131
2021-07-05,3.131
2021-07-06,3.131
2021-07-07,3.131
2021-07-08,3.131
2021-07-09,3.131
2021-07-10,3.131
2021-07-11,3.131
2021-07-12,3.131
2021-07-13,3.131
2021-07-14,3.131
2021-07-15,3.131
2021-07-16,3.131
2021-07-17,3.131
2021-07-18,3.131
2021-07-19,5.654
2021-07-20,8.266
2021-07-21,8.183
2021-07-22,7.741
2021-07-23,7.396
2021-07-24,6.828
2021-07-25,6.266
2021-07-26,5.576
2021-07-27,4.44
2021-07-28,5.402
2021-07-29,5.388
2021-07-30,5.199
2021-07-31,4.851
2021-08-01,5.465
2021-08-02,6.235
2021-08-03,5.625
2021-08-04,5.476
2021-08-05,6.71
